#{"t_start": 1682698749.8717732, "env_id": "AcceleratedCart-v1"}
r,l,t
-43.891202,20,31.74605
-32.505431,20,31.930073
-5.695753,20,31.947668
-11.445636,20,32.086597
-26.386108,20,32.263235
-17.86072,20,32.285338
-20.823621,20,33.076854
-50.133991,20,33.095675
-92.584289,20,33.267642
-21.636494,20,33.44139
-28.153874,20,33.469138
-11.556124,20,33.653837
-4.298364,20,34.38163
-27.647961,20,34.407557
-23.950633,20,34.596
-1.039911,20,34.626473
-6.943264,20,34.795103
-63.452844,20,34.958119
-35.234402,20,35.492708
-62.378748,20,35.708766
-30.170661,20,35.911403
-68.092867,20,35.941474
-4.830044,20,36.092046
-0.731615,20,36.109725
-9.790231,20,36.268207
-4.892105,20,36.888752
-79.336151,20,36.907037
-51.84418,20,37.101654
-23.549794,20,37.266298
-24.116763,20,37.293161
-8.706169,20,37.464824
-7.990391,20,37.978595
-5.795362,20,38.125952
-51.653046,20,38.342763
-3.840771,20,38.365142
-13.733484,20,38.527114
-101.1941,20,38.702887
-9.980835,20,39.223136
-16.850557,20,39.401154
-9.985954,20,39.427757
-32.791763,20,39.600869
-10.606782,20,39.765629
-87.507126,20,39.79073
-14.468765,20,40.427957
-57.417454,20,40.594854
-24.890079,20,40.621823
-68.959055,20,40.783014
-5.740135,20,40.804712
-1.046265,20,40.964466
-15.806868,20,41.173269
-48.733041,20,41.700112
-8.46761,20,41.841814
-31.590741,20,42.012521
-14.066549,20,42.040377
-2.575708,20,42.1871
-16.515302,20,42.207469
-18.052791,20,42.835766
-5.875916,20,42.989083
-15.481241,20,43.012018
-72.427172,20,43.183488
-38.637751,20,43.367935
-48.391912,20,43.396361
-22.554616,20,44.051854
-6.25804,20,44.072767
-36.272306,20,44.252899
-59.902607,20,44.420067
-21.286723,20,44.440996
-32.147292,20,44.599169
-7.674098,20,45.244509
-18.671559,20,45.264143
-19.071843,20,45.45331
-29.343605,20,45.479683
-16.003139,20,45.663721
-2.027328,20,45.819247
-94.363909,20,45.847583
-13.07223,20,46.509711
-91.494524,20,46.689379
-59.959994,20,46.710351
-1.791926,20,46.857326
-7.584644,20,46.876899
-38.601259,20,47.068072
-23.679287,20,47.754461
-19.639129,20,47.785339
-23.49981,20,47.972781
-77.150904,20,48.119359
-47.258671,20,48.139564
-2.69755,20,48.313349
-28.779076,20,48.801509
-14.486228,20,48.971483
-75.30522,20,49.139569
-22.80698,20,49.159553
-29.975132,20,49.328694
-1.354774,20,49.48039
-5.000698,20,49.994567
-64.738016,20,50.175323
-22.612574,20,50.19863
-7.312584,20,50.368431
-18.544331,20,50.531631
-6.063756,20,50.552258
-9.668628,20,50.710821
-16.146898,20,51.34083
-16.586193,20,51.359565
-40.434812,20,51.582535
-38.937606,20,51.631473
-41.653896,20,51.833054
-23.008364,20,51.983926
-17.156516,20,52.484778
-78.644704,20,52.633183
-20.217316,20,52.814035
-9.597879,20,52.833512
-39.175013,20,53.018355
-55.130956,20,53.042169
-25.582699,20,53.686285
-18.885666,20,53.846225
-21.065926,20,53.864759
-6.044951,20,54.030524
-28.908781,20,54.200778
-43.237295,20,54.224724
-36.271514,20,54.875982
-37.613493,20,54.895979
-30.162237,20,55.051624
-7.448289,20,55.28426
-9.994578,20,55.309727
-37.514903,20,55.479694
-24.06588,20,55.653826
-29.246109,20,56.151758
-3.295077,20,56.295192
-9.272047,20,56.317775
-21.17571,20,56.486006
-26.395972,20,56.671657
-16.596034,20,56.690182
-6.05497,20,57.321452
-10.445021,20,57.469513
-2.678642,20,57.491228
-5.669178,20,57.689562
-5.674546,20,57.709692
-4.143577,20,57.895279
-12.718031,20,58.535539
-3.185598,20,58.5551
-14.388979,20,58.806713
-13.355487,20,58.971893
-3.264156,20,58.993603
-10.507853,20,59.152584
-12.596501,20,59.653907
-3.267825,20,59.833504
-21.576137,20,60.021373
-10.511041,20,60.040314
-6.055061,20,60.21358
-3.609232,20,60.358256
-8.071021,20,60.384616
-2.945352,20,61.0486
-3.019967,20,61.075676
-16.797377,20,61.239709
-3.73152,20,61.405653
-18.031629,20,61.432096
-6.247207,20,61.628917
-8.443866,20,62.303636
-13.370207,20,62.328729
-2.587572,20,62.523103
-2.240425,20,62.545018
-10.094942,20,62.742306
-11.298965,20,62.89968
-11.593701,20,63.417006
-7.355624,20,63.601742
-6.228563,20,63.794292
-4.108184,20,63.819585
-3.545168,20,64.018911
-3.065155,20,64.038701
-5.256074,20,64.710674
-5.35108,20,64.862948
-3.713503,20,64.88127
-6.210285,20,65.054386
-2.82133,20,65.241021
-13.643498,20,65.262031
-11.127565,20,65.439586
-3.538268,20,65.950598
-13.261199,20,66.089878
-2.836571,20,66.234943
-7.515157,20,66.252021
-5.444466,20,66.433141
-6.748553,20,66.598645
-11.129655,20,67.094
-10.746449,20,67.246101
-8.261264,20,67.264874
-1.931095,20,67.489232
-2.436005,20,67.627455
-4.304305,20,67.64695
-4.350334,20,68.272423
-2.509781,20,68.419676
-1.564919,20,68.44498
-4.596909,20,68.643295
-3.301221,20,68.669602
-2.09831,20,68.853818
-2.524183,20,69.507783
-2.743602,20,69.524861
-2.747665,20,69.683213
-2.68507,20,69.829801
-2.021628,20,69.848906
-3.053317,20,70.00903
-4.009612,20,70.031947
-7.065741,20,70.637618
-3.60653,20,70.792725
-14.677219,20,70.810044
-10.05914,20,70.96345
-2.703275,20,71.111393
-9.77886,20,71.139091
-2.394587,20,71.796708
-1.998825,20,71.816106
-13.537889,20,72.036456
-1.778978,20,72.217545
-10.485891,20,72.238053
-3.22833,20,72.413573
-4.532603,20,73.050914
-2.284575,20,73.078478
-3.497107,20,73.254305
-8.343304,20,73.28244
-3.833289,20,73.483084
-4.893905,20,73.669129
-1.420575,20,74.184104
-3.269365,20,74.323899
-13.227221,20,74.502711
-9.218662,20,74.530594
-1.095752,20,74.700355
-6.980846,20,74.723768
-1.140432,20,74.862631
-4.878889,20,75.52972
-1.864476,20,75.552222
-12.004277,20,75.797947
-4.173992,20,75.986034
-2.83508,20,76.006293
-4.834581,20,76.179361
-3.860169,20,76.66358
-8.461151,20,76.826122
-3.437918,20,76.995724
-8.423658,20,77.013973
-1.214921,20,77.159715
-1.690666,20,77.325935
-2.111812,20,77.819251
-2.346654,20,77.968718
-4.214799,20,77.993128
-7.690354,20,78.156847
-1.618803,20,78.34023
-2.01826,20,78.367982
-2.350816,20,79.011113
-2.251974,20,79.168818
-1.483932,20,79.187266
-8.51724,20,79.437131
-2.323222,20,79.465292
-5.084986,20,79.646633
-1.595985,20,79.814476
-3.592832,20,80.328279
-1.62564,20,80.467873
-3.259252,20,80.622879
-2.425197,20,80.641971
