#{"t_start": 1682698749.8727977, "env_id": "AcceleratedCart-v1"}
r,l,t
-28.707794,20,31.745082
-10.44537,20,31.929151
-56.772402,20,31.946777
-37.884468,20,32.08563
-29.27068,20,32.26227
-18.274196,20,32.284371
-33.326734,20,33.075934
-1.844073,20,33.09474
-13.493784,20,33.266762
-6.278318,20,33.440451
-1.073793,20,33.46825
-10.192466,20,33.652867
-18.642262,20,34.380732
-34.74577,20,34.406586
-9.653849,20,34.595103
-39.814583,20,34.625576
-1.259064,20,34.794165
-30.925187,20,34.95721
-15.934074,20,35.491742
-23.960252,20,35.707799
-2.427723,20,35.9105
-96.353303,20,35.940573
-16.152948,20,36.09111
-5.454267,20,36.108759
-5.948519,20,36.267243
-2.369366,20,36.887789
-9.860994,20,36.906067
-17.598591,20,37.100729
-19.823429,20,37.265394
-10.104052,20,37.292256
-13.03454,20,37.463888
-51.241617,20,37.977656
-10.616253,20,38.124985
-4.046786,20,38.341803
-18.389441,20,38.364258
-10.433581,20,38.526182
-27.404731,20,38.701933
-54.922455,20,39.222199
-18.408515,20,39.400253
-2.777058,20,39.426859
-6.724675,20,39.599905
-48.733218,20,39.764718
-4.045021,20,39.78977
-3.174882,20,40.427072
-82.053226,20,40.593885
-10.323263,20,40.620857
-62.602828,20,40.782084
-3.672782,20,40.803782
-7.292763,20,40.963563
-7.676242,20,41.172378
-68.180598,20,41.699172
-6.912131,20,41.840852
-2.803472,20,42.011624
-61.633422,20,42.039479
-33.727562,20,42.186169
-64.740884,20,42.206508
-7.876788,20,42.834799
-3.978519,20,42.988152
-0.826557,20,43.01114
-11.071481,20,43.182588
-32.673968,20,43.367068
-4.836763,20,43.395511
-69.697732,20,44.050888
-53.051239,20,44.071797
-54.312979,20,44.251933
-7.929746,20,44.419107
-11.054655,20,44.440033
-23.321634,20,44.598287
-84.105893,20,45.243594
-5.745674,20,45.263173
-75.07208,20,45.452408
-23.66424,20,45.478751
-4.082723,20,45.66286
-110.28004,20,45.818357
-25.371,20,45.846619
-71.461386,20,46.508801
-32.797751,20,46.688481
-24.735652,20,46.709461
-83.69528,20,46.856411
-14.241985,20,46.876007
-40.695308,20,47.067108
-9.044021,20,47.753563
-3.203816,20,47.784439
-10.521401,20,47.971853
-68.006704,20,48.118433
-48.347521,20,48.138637
-36.355582,20,48.312389
-21.91544,20,48.800544
-16.176744,20,48.970525
-4.907069,20,49.138611
-3.286412,20,49.15863
-66.147784,20,49.32778
-25.720993,20,49.479439
-15.098898,20,49.993635
-11.930339,20,50.174419
-4.575292,20,50.197663
-24.264935,20,50.367463
-23.027512,20,50.530664
-31.909572,20,50.551326
-66.030059,20,50.709966
-15.374225,20,51.339865
-58.498532,20,51.35872
-65.011065,20,51.581634
-20.018735,20,51.630578
-5.942863,20,51.832168
-26.440611,20,51.983003
-46.695829,20,52.483812
-4.313086,20,52.632273
-33.887905,20,52.813071
-50.172938,20,52.832553
-46.043424,20,53.017436
-47.078516,20,53.04126
-41.831885,20,53.685318
-6.436512,20,53.845299
-52.56405,20,53.863828
-38.347323,20,54.029557
-67.597972,20,54.199811
-9.722328,20,54.223784
-34.719918,20,54.875043
-10.927848,20,54.895044
-2.435141,20,55.050748
-30.368096,20,55.283347
-33.129457,20,55.308816
-30.254838,20,55.47877
-16.680355,20,55.652921
-50.772321,20,56.150791
-27.217307,20,56.29429
-2.090886,20,56.316868
-19.528383,20,56.485121
-3.413109,20,56.670721
-6.645564,20,56.689247
-49.776858,20,57.320514
-10.668261,20,57.468541
-2.710487,20,57.490289
-25.165497,20,57.688615
-1.963731,20,57.708864
-3.802783,20,57.89437
-4.275948,20,58.534601
-2.723852,20,58.554196
-6.812,20,58.805789
-11.351677,20,58.971016
-5.597503,20,58.99271
-12.023433,20,59.151623
-3.543185,20,59.65294
-11.891846,20,59.832534
-2.15851,20,60.020442
-36.150139,20,60.039394
-14.935385,20,60.212642
-13.81191,20,60.35733
-4.117371,20,60.383656
-23.640481,20,61.047661
-3.403601,20,61.074787
-10.801558,20,61.238809
-6.644519,20,61.404752
-9.390396,20,61.431214
-3.213186,20,61.62802
-6.935766,20,62.302754
-4.253991,20,62.327834
-6.013593,20,62.52218
-4.121998,20,62.544093
-3.779616,20,62.741441
-13.690192,20,62.898713
-11.372255,20,63.416037
-2.728457,20,63.600821
-1.701968,20,63.793395
-18.817591,20,63.818677
-9.563453,20,64.017964
-2.13994,20,64.037735
-1.408274,20,64.709733
-10.751421,20,64.861978
-9.511421,20,64.880373
-8.434456,20,65.053487
-3.717016,20,65.240111
-4.804522,20,65.261072
-19.243889,20,65.438678
-16.157054,20,65.949631
-12.782439,20,66.089
-2.987231,20,66.233974
-2.348052,20,66.251085
-2.369973,20,66.432239
-6.577335,20,66.597684
-5.094899,20,67.093034
-5.340243,20,67.24514
-6.352397,20,67.263907
-3.366024,20,67.488339
-2.752398,20,67.626527
-2.663586,20,67.646026
