#{"t_start": 1682698749.8674893, "env_id": "AcceleratedCart-v1"}
r,l,t
-8.355215,20,31.750149
-21.296242,20,31.934041
-10.195415,20,31.951671
-81.888871,20,32.090588
-18.471333,20,32.267259
-39.629596,20,32.289356
-53.750819,20,33.080788
-35.861429,20,33.099704
-24.780717,20,33.271615
-111.249779,20,33.445338
-44.763139,20,33.473109
-1.509943,20,33.657935
-18.27377,20,34.385502
-135.192776,20,34.411661
-7.989081,20,34.599886
-5.385616,20,34.630424
-54.250559,20,34.799209
-1.866631,20,34.962057
-12.407284,20,35.496772
-6.079252,20,35.712823
-32.881191,20,35.91536
-41.029397,20,35.945442
-36.222246,20,36.096152
-13.119388,20,36.113753
-67.313957,20,36.272187
-46.586866,20,36.89282
-41.957446,20,36.911139
-41.493805,20,37.104764
-56.019713,20,37.270261
-15.623829,20,37.29706
-7.304237,20,37.46882
-70.852651,20,37.982602
-31.976336,20,38.130013
-4.308861,20,38.346773
-1.658853,20,38.369018
-18.03881,20,38.531205
-41.849945,20,38.706973
-1.145436,20,39.227205
-39.803351,20,39.405087
-60.142945,20,39.431569
-53.323944,20,39.604889
-45.14164,20,39.769606
-17.635689,20,39.794814
-17.542291,20,40.432026
-12.931675,20,40.598958
-9.447428,20,40.625889
-11.707202,20,40.78703
-68.394007,20,40.808698
-29.098375,20,40.968427
-110.16215,20,41.177165
-6.634937,20,41.704156
-54.934717,20,41.845863
-3.024925,20,42.016308
-5.56042,20,42.044255
-12.787653,20,42.190405
-14.534051,20,42.211522
-1.488153,20,42.839837
-2.072696,20,42.993177
-18.362386,20,43.015752
-58.886251,20,43.187358
-53.314418,20,43.37184
-73.442193,20,43.400325
-2.840626,20,44.055906
-44.619942,20,44.076861
-16.294537,20,44.256966
-3.228354,20,44.424062
-37.506365,20,44.445036
-5.261249,20,44.602988
-5.290064,20,45.248599
-82.290275,20,45.268236
-1.692419,20,45.457247
-5.017747,20,45.483602
-68.037096,20,45.667577
-43.131023,20,45.82312
-96.477,20,45.851609
-12.660864,20,46.51367
-80.367205,20,46.693334
-9.330206,20,46.71417
-3.346323,20,46.861386
-8.163699,20,46.880834
-40.103318,20,47.072007
-75.714497,20,47.758379
-21.34897,20,47.789264
-12.565722,20,47.976792
-17.497585,20,48.123365
-2.928275,20,48.143538
-21.87213,20,48.317395
-6.350961,20,48.805577
-33.351367,20,48.975523
-15.387968,20,49.143634
-20.85219,20,49.163626
-16.880601,20,49.332671
-65.82666,20,49.484192
-36.498804,20,49.998647
-38.544064,20,50.179309
-45.043425,20,50.202691
-64.272526,20,50.372517
-15.728851,20,50.535733
-21.151557,20,50.556351
-11.237489,20,50.714673
-15.135934,20,51.344898
-57.295622,20,51.363551
-56.54382,20,51.586496
-1.65801,20,51.635378
-68.721281,20,51.836934
-33.471643,20,51.987921
-49.043512,20,52.488847
-19.292965,20,52.636479
-43.397554,20,52.818052
-44.69652,20,52.837552
-15.069003,20,53.022324
-3.1135,20,53.046068
-22.766905,20,53.69036
-6.072723,20,53.850224
-45.336265,20,53.868764
-4.728787,20,54.03459
-33.005835,20,54.204862
-6.230846,20,54.228651
-7.655251,20,54.879969
-26.522089,20,54.900033
