#{"t_start": 1682698749.8738856, "env_id": "AcceleratedCart-v1"}
r,l,t
-79.366215,20,31.744048
-5.865781,20,31.928165
-103.758649,20,31.945823
-17.168822,20,32.084599
-1.968396,20,32.261241
-9.929819,20,32.283341
-12.177111,20,33.074953
-57.205135,20,33.093742
-14.187049,20,33.265768
-30.278095,20,33.439477
-99.419229,20,33.467252
-10.778778,20,33.651833
-4.172984,20,34.379739
-81.109496,20,34.405551
-108.783304,20,34.594157
-24.15046,20,34.624583
-17.950442,20,34.793135
-6.362592,20,34.956208
-8.052908,20,35.490708
-52.392542,20,35.706768
-61.021045,20,35.909501
-46.072255,20,35.939574
-65.440292,20,36.090081
-38.984404,20,36.107773
-69.93185,20,36.266258
-17.308892,20,36.886786
-59.08547,20,36.905068
-12.061312,20,37.099731
-32.423051,20,37.264396
-5.255685,20,37.291289
-85.332326,20,37.462885
-2.82601,20,37.976654
-43.984637,20,38.123951
-5.916077,20,38.340809
-17.95722,20,38.363269
-37.646242,20,38.525154
-46.777462,20,38.700904
-65.766663,20,39.221195
-3.748787,20,39.399254
-3.142432,20,39.425874
-1.185809,20,39.598876
-33.840091,20,39.763741
-74.695684,20,39.788814
-59.42923,20,40.426105
-7.495861,20,40.592867
-56.549675,20,40.619824
-50.227097,20,40.78109
-3.857357,20,40.802787
-13.431976,20,40.962563
-20.266687,20,41.171422
-23.895305,20,41.698168
-2.321184,20,41.839858
-17.442485,20,42.01066
-36.07897,20,42.038524
-23.623918,20,42.185144
-6.707997,20,42.205479
-60.495377,20,42.833765
-4.787286,20,42.987157
-31.369803,20,43.010201
-48.927397,20,43.181622
-61.081937,20,43.366124
-1.033653,20,43.394605
-16.369224,20,44.049891
-62.16254,20,44.070799
-13.016867,20,44.250901
-55.633538,20,44.418118
-43.200127,20,44.43904
-22.695528,20,44.59736
-99.101536,20,45.242648
-1.648276,20,45.262139
-32.111199,20,45.451408
-9.812261,20,45.477784
-5.110537,20,45.661917
-11.199462,20,45.8174
-54.191231,20,45.845586
-49.010809,20,46.507797
-120.954829,20,46.687501
-75.981329,20,46.708469
-6.349957,20,46.855412
-62.491125,20,46.874988
-72.250454,20,47.066077
-4.120602,20,47.752619
-3.367371,20,47.783474
-8.702693,20,47.970859
-23.844294,20,48.117441
-95.666498,20,48.137661
-57.315327,20,48.311393
-15.54134,20,48.79951
-42.742784,20,48.969499
-20.150528,20,49.13758
-2.814542,20,49.157608
-6.216649,20,49.326799
-20.654507,20,49.478455
-62.646725,20,49.992605
-15.340767,20,50.173415
-2.148431,20,50.196629
-60.896076,20,50.366468
-26.387121,20,50.529666
-12.076829,20,50.550298
-5.555901,20,50.708954
-16.231023,20,51.338831
-5.452483,20,51.357755
-8.256786,20,51.580635
-46.458755,20,51.62962
-28.065944,20,51.831201
-29.910937,20,51.982036
-63.489926,20,52.482778
-54.770922,20,52.631253
-35.391014,20,52.812085
-66.183729,20,52.831542
-28.468081,20,53.016452
-30.482893,20,53.0403
-27.645993,20,53.684284
-22.163589,20,53.8443
-46.657342,20,53.862833
-4.145361,20,54.028555
-35.560404,20,54.198781
-3.93682,20,54.222808
-32.600823,20,54.874048
-14.834458,20,54.894014
-33.264173,20,55.0498
-9.543606,20,55.282377
-30.279305,20,55.307875
-3.62504,20,55.477774
-37.154017,20,55.651922
-17.046007,20,56.149756
-30.725781,20,56.293293
-15.611698,20,56.315914
-9.19282,20,56.484163
-8.126088,20,56.669719
-37.364026,20,56.68822
-3.797182,20,57.319484
-4.552049,20,57.467507
-42.57742,20,57.489321
-1.765241,20,57.68762
-2.142385,20,57.707872
-1.832793,20,57.893397
-4.156771,20,58.533599
-24.542709,20,58.553227
-3.080125,20,58.804812
-12.600267,20,58.970054
-5.057656,20,58.991739
-16.176879,20,59.150648
-4.443019,20,59.651906
-5.614161,20,59.831498
-3.600548,20,60.019418
-3.916855,20,60.038395
-5.649819,20,60.211611
-6.580396,20,60.356337
-15.803899,20,60.382679
-6.065199,20,61.046686
-12.60195,20,61.073801
-4.398238,20,61.237836
-6.390728,20,61.403754
-5.129429,20,61.430256
-6.56218,20,61.627061
-6.191457,20,62.301813
-4.197775,20,62.326876
-2.775911,20,62.521203
-4.674321,20,62.543074
-1.411431,20,62.740451
-3.083698,20,62.897681
-4.076082,20,63.415002
-2.114155,20,63.599845
-11.484518,20,63.792398
-11.488695,20,63.817685
-2.987815,20,64.016972
-8.315276,20,64.036703
-4.422449,20,64.708702
-4.346564,20,64.860944
-13.1644,20,64.879421
-2.022271,20,65.052493
-2.115898,20,65.239135
-7.166372,20,65.260079
-2.229437,20,65.437721
-6.693727,20,65.948598
-2.550751,20,66.088049
-16.15657,20,66.23294
-3.334499,20,66.250056
-3.059389,20,66.431242
-4.164434,20,66.596655
-2.05251,20,67.092
-3.607323,20,67.24412
-10.084677,20,67.262908
-4.633934,20,67.487366
-9.100791,20,67.625534
-2.420597,20,67.645034
-5.453064,20,68.27045
-4.146285,20,68.417763
-11.431272,20,68.443113
-13.828031,20,68.641427
-7.292552,20,68.667721
-9.147164,20,68.851913
-4.19195,20,69.505826
-3.70479,20,69.522859
-5.058526,20,69.681248
-6.566575,20,69.827977
-4.456285,20,69.846921
-12.217353,20,70.007175
-5.623452,20,70.030018
-2.067446,20,70.63565
-7.420348,20,70.790756
-13.242539,20,70.808047
-3.771298,20,70.961508
-4.711551,20,71.109544
-11.408765,20,71.137208
-2.207164,20,71.794709
-7.954435,20,71.814103
-17.384548,20,72.03458
-4.118743,20,72.215618
-5.886836,20,72.236177
-9.686482,20,72.411583
-1.973207,20,73.049
-2.660708,20,73.07648
-3.749574,20,73.252406
-3.139765,20,73.280545
-2.483867,20,73.4812
-3.606314,20,73.667205
-1.682124,20,74.182106
-1.991714,20,74.321986
-7.414204,20,74.500814
-5.554212,20,74.52871
-2.782636,20,74.698465
-3.450446,20,74.721766
-3.438382,20,74.860771
-1.289646,20,75.527808
-2.935002,20,75.55023
-3.959218,20,75.796088
