#{"t_start": 1682698749.8692405, "env_id": "AcceleratedCart-v1"}
r,l,t
-11.626106,20,31.748469
-99.334906,20,31.932405
-6.203828,20,31.949987
-6.430538,20,32.088954
-5.246637,20,32.265604
-2.103616,20,32.287743
-45.588502,20,33.079158
-4.098188,20,33.098022
-5.252259,20,33.269978
-89.908374,20,33.443684
-22.687543,20,33.471457
-56.301548,20,33.656254
-6.342752,20,34.383894
-3.786081,20,34.409977
-10.343707,20,34.598274
-20.067867,20,34.628778
-22.543512,20,34.797525
-27.860324,20,34.960427
-42.718827,20,35.495089
-143.227839,20,35.71117
-27.982603,20,35.913715
-10.159764,20,35.94379
-33.477726,20,36.094467
-17.10121,20,36.112068
-61.166645,20,36.270505
-45.269251,20,36.891135
-47.485284,20,36.909455
-25.249918,20,37.103944
-21.745153,20,37.26861
-15.658861,20,37.295444
-55.990559,20,37.467175
-10.326798,20,37.980948
-3.486765,20,38.128329
-11.280965,20,38.345096
-61.097308,20,38.367367
-11.688216,20,38.529525
-108.485325,20,38.705295
-32.338573,20,39.22552
-6.019072,20,39.40344
-4.819937,20,39.429976
-44.438807,20,39.603213
-25.105876,20,39.767934
-5.77828,20,39.793138
-1.195004,20,40.430342
-8.689138,20,40.597273
-2.137777,20,40.624206
-22.644774,20,40.785353
-0.570754,20,40.807051
-9.73723,20,40.966781
-58.847448,20,41.175526
-67.194074,20,41.702469
-39.132989,20,41.844185
-8.301298,20,42.014771
-54.47305,20,42.042647
-37.035177,20,42.189494
-8.287738,20,42.209844
-35.196438,20,42.838152
-23.97295,20,42.991497
-23.686744,20,43.01422
-9.274515,20,43.185766
-34.239296,20,43.370226
-2.618028,20,43.398689
-6.72541,20,44.054228
-4.626091,20,44.07518
-6.683552,20,44.255284
-4.894448,20,44.422386
-37.885758,20,44.443361
-43.304042,20,44.60141
-5.914238,20,45.246918
-24.041724,20,45.266558
-26.326929,20,45.455595
-16.535811,20,45.481957
-28.817066,20,45.665954
-33.074892,20,45.821513
-52.09542,20,45.849929
-6.233424,20,46.512022
-16.558031,20,46.691686
-33.753424,20,46.712491
-20.981368,20,46.859703
-58.736321,20,46.879178
-27.426179,20,47.070405
-5.654849,20,47.756734
-77.245951,20,47.787618
-4.971397,20,47.975116
-32.808705,20,48.121689
-68.591314,20,48.141895
-28.848488,20,48.315719
-9.196653,20,48.803894
-6.154467,20,48.973849
-94.362275,20,49.141952
-4.693797,20,49.161952
-5.65877,20,49.330994
-20.451263,20,49.482625
-28.509021,20,49.996981
-69.513594,20,50.177653
-93.569236,20,50.201006
-3.402036,20,50.370841
-20.397503,20,50.534049
-7.525928,20,50.554669
-27.061442,20,50.71306
-39.089463,20,51.343215
-65.752921,20,51.361894
-41.203687,20,51.584849
-46.299552,20,51.633745
-45.893164,20,51.835325
-35.951988,20,51.986248
-2.769868,20,52.487162
-13.933602,20,52.635512
-11.22667,20,52.816371
-54.736026,20,52.835875
-37.667423,20,53.020656
-52.494293,20,53.044451
-21.650445,20,53.688672
-11.971797,20,53.848542
-34.545336,20,53.867082
-39.633313,20,54.032906
-16.264956,20,54.203184
-9.397725,20,54.226996
-28.224955,20,54.878324
-36.039745,20,54.898354
-21.361042,20,55.053881
-6.920794,20,55.286664
-1.561653,20,55.311929
-20.039775,20,55.482038
-2.009283,20,55.656145
-24.846853,20,56.154143
-1.941229,20,56.297502
-4.297336,20,56.320058
-2.368983,20,56.488341
-8.330557,20,56.674008
-2.106839,20,56.692554
-15.639677,20,57.323868
-28.172032,20,57.471934
-5.386703,20,57.493548
-4.353016,20,57.691918
-4.149084,20,57.712016
-3.562167,20,57.897601
-4.387305,20,58.537893
-2.947148,20,58.557387
-1.339887,20,58.809044
-2.618419,20,58.974163
-7.761816,20,58.995901
-5.216751,20,59.15491
-10.957753,20,59.656296
-8.069953,20,59.835925
-9.447656,20,60.023784
-12.127029,20,60.042731
-3.168254,20,60.215965
-9.738226,20,60.360442
-18.145054,20,60.386928
-10.091515,20,61.050893
-13.812284,20,61.077938
-3.394976,20,61.242017
-4.655999,20,61.407968
-10.917836,20,61.434364
-6.917358,20,61.631186
-14.54343,20,62.30584
-5.012798,20,62.330976
-16.834266,20,62.525425
-2.560867,20,62.54742
-12.095829,20,62.744645
-2.434508,20,62.902091
-5.3044,20,63.4194
-7.725057,20,63.604078
-3.995601,20,63.796604
-6.958644,20,63.821871
-2.275601,20,64.021257
-3.454261,20,64.041116
-2.068675,20,64.713062
-6.467686,20,64.865366
-13.027113,20,64.883614
-3.683974,20,65.056688
