#{"t_start": 1683905792.7162766, "env_id": "AcceleratedCart-v1"}
r,l,t
-22.320107,20,5.047729
-14.686962,20,5.199707
-45.768065,20,5.333755
-4.782768,20,5.497372
-17.840654,20,5.648924
-92.039393,20,5.811313
-7.833184,20,6.66938
-99.56458,20,6.812929
-28.71637,20,6.996083
-23.088283,20,7.170932
-64.919847,20,7.341915
-70.45692,20,7.508206
-54.376382,20,8.152518
-9.34366,20,8.295536
-51.388346,20,8.484253
-16.881344,20,8.63511
-64.805656,20,8.771525
-28.696295,20,8.93056
-26.893259,20,9.573234
-6.425067,20,9.711621
-53.029702,20,9.879976
-7.830194,20,10.015003
-45.441213,20,10.151877
-9.669516,20,10.292762
-8.776121,20,10.457313
-49.923387,20,11.151199
-30.287284,20,11.340917
-25.737664,20,11.477147
-34.331929,20,11.641937
-9.737553,20,11.789942
-35.952002,20,11.932565
-6.204236,20,12.614585
-6.922242,20,12.746086
-1.62113,20,12.910064
-2.881421,20,13.052907
-3.823613,20,13.209217
-29.795545,20,13.364218
-42.351854,20,13.985317
-6.468543,20,14.231797
-82.753702,20,14.387372
-55.873054,20,14.548501
-80.936853,20,14.717422
-49.484288,20,14.876776
-7.926715,20,15.566751
-57.677305,20,15.707636
-20.260272,20,15.876462
-50.996773,20,16.047935
-13.869939,20,16.198447
-14.475522,20,16.342598
-16.755674,20,16.501626
-1.254223,20,17.162742
-62.128835,20,17.323011
-7.588151,20,17.495161
-4.988462,20,17.6645
-56.078639,20,17.823675
-14.931691,20,17.967861
-45.71757,20,18.592099
-45.686046,20,18.734209
-4.646502,20,18.967592
-5.461501,20,19.15182
-21.974279,20,19.280809
-5.189532,20,19.462183
-12.906005,20,20.091073
-7.682741,20,20.238992
-13.249273,20,20.406184
-16.699399,20,20.561726
-50.345301,20,20.719775
-5.995443,20,20.859655
-4.133541,20,21.497818
-14.911107,20,21.670627
-5.293608,20,21.823672
-5.766903,20,21.975826
-8.046451,20,22.112377
-23.323202,20,22.271934
-5.65504,20,22.44663
-7.205797,20,23.115673
-6.524361,20,23.365171
-5.194276,20,23.506532
-3.852455,20,23.65681
-22.309841,20,23.796686
-22.910153,20,23.947531
-7.024014,20,24.603917
-17.61459,20,24.734733
-10.368704,20,24.889127
-4.879776,20,25.047706
-7.469427,20,25.196904
-3.388965,20,25.350838
-2.899529,20,26.023071
-8.272199,20,26.163943
-17.393058,20,26.320771
-24.621101,20,26.468607
-16.503355,20,26.635282
-5.144679,20,26.795507
-5.263922,20,27.454155
-13.153411,20,27.618248
-4.188529,20,27.828799
-2.939627,20,27.980766
-8.903104,20,28.133594
-7.665474,20,28.276819
-11.408903,20,28.428395
-4.494641,20,29.029695
-14.960306,20,29.204807
-6.024701,20,29.345946
-4.298923,20,29.485504
-2.813566,20,29.634293
-14.419596,20,29.789114
-3.505454,20,30.430381
-2.896979,20,30.573248
-6.835318,20,30.732179
-3.992042,20,30.863918
-21.751935,20,31.004394
-4.162254,20,31.180891
-5.102217,20,31.888125
-3.723911,20,32.042403
-13.023817,20,32.236923
-3.136476,20,32.400054
-6.173711,20,32.546852
-2.602378,20,32.702244
-3.144996,20,33.351032
-2.212803,20,33.472247
-12.903476,20,33.694445
-8.865046,20,33.848919
-4.78696,20,34.007848
-2.599272,20,34.164307
-4.940475,20,34.311436
-2.196836,20,34.907982
-12.186708,20,35.067209
-5.735052,20,35.216049
-3.491188,20,35.376179
-12.524917,20,35.539593
-3.566408,20,35.702778
-3.941724,20,36.352835
-3.313213,20,36.473868
-5.208022,20,36.645075
-4.548648,20,36.802467
-5.177526,20,36.95254
-7.356499,20,37.121499
-10.30153,20,37.799497
