#{"t_start": 1683905792.7138834, "env_id": "AcceleratedCart-v1"}
r,l,t
-14.274773,20,5.049971
-34.451938,20,5.201956
-134.503375,20,5.335963
-9.630369,20,5.499553
-57.402568,20,5.651115
-51.911941,20,5.813258
-70.94177,20,6.671639
-49.715159,20,6.815147
-28.304117,20,6.998258
-30.942098,20,7.173065
-14.901099,20,7.344027
-104.229686,20,7.51036
-87.979133,20,8.154789
-27.451894,20,8.297789
-16.45738,20,8.486453
-97.010085,20,8.637293
-40.48102,20,8.773772
-64.389338,20,8.932793
-89.894822,20,9.575419
-48.269085,20,9.713703
-36.133751,20,9.882151
-26.113268,20,10.017193
-27.727158,20,10.154104
-18.095962,20,10.294739
-38.784666,20,10.459451
-13.950069,20,11.153447
-53.830713,20,11.343082
-27.326199,20,11.479185
-13.755665,20,11.644076
-2.053893,20,11.792129
-7.26835,20,11.934758
-11.20495,20,12.616813
-55.513738,20,12.748181
-61.52407,20,12.912254
-7.186874,20,13.055036
-7.908315,20,13.211388
-7.507132,20,13.366407
-49.913801,20,13.98753
-40.053414,20,14.233953
-15.88252,20,14.389581
-56.876352,20,14.550637
-22.730561,20,14.719598
-23.026119,20,14.879008
-68.950987,20,15.568857
-20.674436,20,15.709834
-20.34415,20,15.878656
-57.418806,20,16.050064
-56.55652,20,16.20055
-3.298251,20,16.344841
-45.850374,20,16.503728
-6.401714,20,17.164928
-13.410631,20,17.32518
-39.925341,20,17.497369
-21.496233,20,17.666671
-20.799291,20,17.825909
-4.734797,20,17.970086
-52.16596,20,18.594344
-3.708156,20,18.736421
-54.00927,20,18.969738
-21.688925,20,19.153935
-4.438018,20,19.282995
-21.448384,20,19.464379
-4.502081,20,20.093337
-2.423523,20,20.241203
-14.624609,20,20.408369
-10.617765,20,20.563944
-1.652837,20,20.721869
-50.567356,20,20.861882
-22.334133,20,21.500026
-4.413179,20,21.672723
-35.18826,20,21.825656
-19.276756,20,21.978052
-11.107332,20,22.114601
-7.443017,20,22.273906
-9.606677,20,22.448871
-5.808852,20,23.117751
-8.772168,20,23.367407
-4.614347,20,23.508682
-8.034905,20,23.658926
-18.648786,20,23.798924
-30.650917,20,23.949768
-2.696794,20,24.606065
-4.496564,20,24.736949
-2.982844,20,24.891288
-5.435085,20,25.049941
-5.882888,20,25.199141
-2.993561,20,25.353021
-5.897744,20,26.025284
-4.805239,20,26.166183
-2.924437,20,26.322944
-6.420772,20,26.470803
-7.849647,20,26.637442
-4.280361,20,26.79774
-10.196489,20,27.456273
-3.642536,20,27.62044
-5.593974,20,27.831031
-13.721531,20,27.982951
-4.077572,20,28.13584
-7.142454,20,28.278924
-2.867009,20,28.430631
-7.474448,20,29.03192
-2.635448,20,29.206985
-3.377069,20,29.348119
-4.603122,20,29.487751
-6.93483,20,29.636496
-8.166598,20,29.791315
-11.889245,20,30.432631
-4.98927,20,30.575436
-10.599287,20,30.734355
-7.763898,20,30.866092
-12.715849,20,31.006593
-7.779865,20,31.182951
-6.600163,20,31.890372
-18.317095,20,32.044507
-4.006021,20,32.239132
-3.011678,20,32.402231
-3.856949,20,32.548924
-2.940844,20,32.704475
-2.09773,20,33.353289
-2.128615,20,33.474498
-5.708207,20,33.69653
-13.244059,20,33.851024
-3.710827,20,34.010039
-8.064754,20,34.166482
-3.229133,20,34.313594
-4.7748,20,34.910224
-3.448069,20,35.069282
-15.557731,20,35.218159
-2.869904,20,35.378423
-12.697075,20,35.541774
-4.540408,20,35.704971
-2.41598,20,36.355072
-2.781377,20,36.47612
-3.192295,20,36.647228
-6.866408,20,36.804551
-2.994492,20,36.954617
-4.254289,20,37.123682
-14.633482,20,37.801743
-1.887611,20,37.937652
-2.295317,20,38.112081
-10.943809,20,38.297212
-4.593435,20,38.45933
