#{"t_start": 1683905792.7172923, "env_id": "AcceleratedCart-v1"}
r,l,t
-3.062541,20,5.046783
-1.185177,20,5.198757
-49.163369,20,5.332844
-69.589655,20,5.496486
-23.253986,20,5.648034
-8.123836,20,5.810406
-1.159669,20,6.668427
-0.861205,20,6.811986
-32.894184,20,6.995214
-25.282985,20,7.170086
-19.495836,20,7.340998
-20.351672,20,7.507287
-91.471336,20,8.151563
-7.067271,20,8.294583
-23.541007,20,8.483378
-48.345107,20,8.634246
-21.818213,20,8.770577
-26.231854,20,8.929616
-21.256287,20,9.572323
-6.402978,20,9.710699
-36.36003,20,9.879094
-11.121919,20,10.014155
-16.130101,20,10.150947
-12.176742,20,10.292814
-21.858818,20,10.456481
-1.070806,20,11.15031
-26.545133,20,11.340077
-18.98576,20,11.476312
-50.470163,20,11.641047
-99.502717,20,11.789027
-46.573644,20,11.931689
-16.136474,20,12.613633
-10.850828,20,12.745208
-10.421646,20,12.909181
-3.802373,20,13.052034
-3.46877,20,13.208332
-4.682248,20,13.363324
-71.305339,20,13.984385
-2.7501,20,14.230953
-16.694373,20,14.386477
-76.08229,20,14.547597
-19.705601,20,14.716516
-5.948657,20,14.875834
-5.315997,20,15.565835
-22.417863,20,15.706726
-14.086804,20,15.875593
-12.458816,20,16.047069
-41.738471,20,16.197604
-10.121382,20,16.341654
-19.620627,20,16.500718
-1.471609,20,17.161855
-34.37021,20,17.322138
-0.838088,20,17.494279
-7.888257,20,17.663665
-2.095822,20,17.822737
-8.094555,20,17.966949
-1.754873,20,18.591149
-8.273191,20,18.73329
-59.864537,20,18.966668
-21.01727,20,19.15098
-11.030333,20,19.27996
-0.556435,20,19.461305
-20.464331,20,20.09012
-21.546287,20,20.238071
-1.755852,20,20.40531
-16.358675,20,20.56151
-10.818056,20,20.718896
-2.402685,20,20.858712
-19.363922,20,21.496893
-8.495531,20,21.669772
-12.024576,20,21.822948
-19.176707,20,21.97499
-18.79125,20,22.111442
-32.234404,20,22.271073
-11.984884,20,22.445691
-3.438779,20,23.114837
-10.071438,20,23.364267
-12.027727,20,23.50561
-6.693521,20,23.656004
-7.389944,20,23.795745
-22.667866,20,23.94659
-16.61551,20,24.602989
-5.639614,20,24.733819
-7.91949,20,24.888195
-2.777155,20,25.046829
-3.652852,20,25.195954
-4.941565,20,25.349934
-8.653566,20,26.022128
-3.754793,20,26.16302
-4.882372,20,26.319963
-3.532677,20,26.4677
-4.160445,20,26.634423
-19.028116,20,26.794566
-5.361281,20,27.45335
-6.891855,20,27.617403
-6.209063,20,27.827872
-3.928766,20,27.979908
-17.956234,20,28.13265
-5.842517,20,28.275947
-10.147825,20,28.427449
-8.677215,20,29.028754
-11.331542,20,29.203927
-6.694331,20,29.345012
-2.55957,20,29.484615
-3.003894,20,29.63338
-2.992916,20,29.788267
-9.640685,20,30.429429
-11.578413,20,30.572372
-16.34733,20,30.73127
-2.226152,20,30.863025
-4.094024,20,31.023033
-2.623902,20,31.179986
-6.146209,20,31.887176
-4.092046,20,32.041551
-2.971664,20,32.235986
-6.049965,20,32.39915
-17.084168,20,32.545996
-2.856033,20,32.701302
-1.958558,20,33.35008
-6.246533,20,33.471297
-5.972878,20,33.693636
-2.860159,20,33.848017
-2.711581,20,34.006964
-4.438979,20,34.163443
-2.873901,20,34.310581
-6.112093,20,34.907041
-3.718784,20,35.066339
-3.05469,20,35.215196
-3.09821,20,35.375238
-4.452267,20,35.538752
-2.468895,20,35.701892
-2.769691,20,36.351896
-15.301376,20,36.472922
-7.258056,20,36.64417
-2.925912,20,36.801627
-3.35674,20,36.951669
-3.15462,20,37.12062
-4.215536,20,37.798553
-14.628873,20,37.934613
-4.650063,20,38.109041
-6.044633,20,38.294083
-3.528423,20,38.456214
-3.47076,20,38.599371
-2.953057,20,39.209997
-5.813058,20,39.345811
-3.627695,20,39.505147
-12.77555,20,39.643432
-4.723676,20,39.785782
-3.33488,20,39.959802
-3.285807,20,40.126965
-1.765224,20,40.811297
-1.309777,20,41.003975
-11.283071,20,41.171814
-11.678468,20,41.345467
-2.533256,20,41.500002
-3.518573,20,41.921437
-6.001291,20,42.606599
-15.907175,20,42.858823
-18.416703,20,43.037082
-3.305311,20,43.177779
-2.0664,20,43.347749
-3.767832,20,43.551863
-3.105212,20,44.210788
-4.650698,20,44.365488
-7.557026,20,44.527339
-3.710914,20,44.692519
-3.297793,20,44.880498
-6.270437,20,45.052279
-3.437792,20,45.752571
-2.171979,20,45.91431
-2.624408,20,46.074356
-14.529678,20,46.277955
-23.474589,20,46.479908
-14.47307,20,46.632395
-4.434546,20,46.797671
-2.487421,20,47.548228
-1.465785,20,47.707625
-12.320709,20,47.868008
-1.258927,20,48.029413
-1.800364,20,48.181694
-14.748269,20,48.33171
-2.427404,20,48.993406
-2.689087,20,49.142624
-1.010487,20,49.296422
-1.226312,20,49.432104
-1.349898,20,49.583248
-7.619992,20,49.729312
-5.445934,20,50.35305
-1.764085,20,50.495824
-15.1197,20,50.631545
-1.71436,20,50.800067
-7.716483,20,50.95069
-5.820373,20,51.101471
-1.297077,20,51.772094
-6.784318,20,51.926871
-3.202994,20,52.136107
-1.864315,20,52.277254
-3.276693,20,52.433809
-13.780015,20,52.649725
-2.398889,20,52.836452
-11.482704,20,53.512589
-3.941668,20,53.655963
-4.904526,20,53.796731
-6.675995,20,53.937568
-1.684831,20,54.072933
-1.956535,20,54.225935
-2.623575,20,54.882402
-5.558999,20,55.024944
-3.629616,20,55.180964
-14.066601,20,55.326195
-0.990095,20,55.483176
-3.386583,20,55.653735
-2.557622,20,56.281635
-2.801733,20,56.413432
-6.319859,20,56.628559
-2.244872,20,56.823958
-2.248837,20,56.966578
-4.085351,20,57.115457
-2.119759,20,57.765195
-3.076712,20,57.892173
-2.350548,20,58.03496
-2.127096,20,58.189181
-2.73352,20,58.351159
-2.425827,20,58.58096
-8.036069,20,58.726009
-2.19772,20,59.31784
-4.764697,20,59.466409
-2.244589,20,59.62235
-1.593927,20,59.769225
-12.667892,20,59.936982
-1.873381,20,60.076977
-1.881606,20,60.69838
-7.873415,20,60.82693
-4.509158,20,60.973915
-2.064507,20,61.127137
-6.695839,20,61.285763
-2.267778,20,61.443448
-3.300002,20,62.077614
-4.583815,20,62.206302
-14.955361,20,62.353512
-13.655766,20,62.510007
-2.095189,20,62.661408
-6.367006,20,62.831701
-0.996409,20,63.488046
-9.803421,20,63.63885
-12.299526,20,63.789549
-16.006636,20,63.947149
-1.233538,20,64.114856
-2.392467,20,64.276794
-15.921903,20,64.42552
-3.366185,20,65.027228
-4.787238,20,65.181087
-1.267608,20,65.325459
-8.516661,20,65.480258
-2.650236,20,65.620839
-6.346502,20,65.749142
-1.902236,20,66.381894
-1.634829,20,66.51944
-2.96004,20,66.687443
-3.897651,20,66.855203
-3.46733,20,66.996234
-4.574794,20,67.131432
-1.699101,20,67.757656
-1.497369,20,67.898006
-5.096927,20,68.064231
-13.427371,20,68.228395
-4.785466,20,68.382527
-2.026493,20,68.520256
-3.88828,20,69.16577
-1.591019,20,69.322425
-3.81956,20,69.479348
-1.473636,20,69.628264
-2.112495,20,69.783828
-14.82725,20,69.953315
-2.821633,20,70.105831
