#{"t_start": 1684137781.4153252, "env_id": "AcceleratedCart-v1"}
r,l,t
-11.207014,50,1.42815
-45.989623,50,1.622602
-26.424917,50,3.0916
-76.791922,50,3.305736
-57.767693,50,3.514164
-7.195101,50,4.909291
-25.59882,50,5.13102
-49.980112,50,6.542625
-28.699763,50,6.729804
-87.034711,50,6.942657
-4.914632,50,8.414482
-10.546775,50,8.622707
-19.902083,50,10.027845
-65.613037,50,10.325104
-21.003488,50,10.545485
-12.932046,50,11.924929
-57.196751,50,12.139058
-65.054605,50,13.546897
-87.012026,50,13.743469
-69.93187,50,13.953943
-26.575003,50,15.328938
-49.554502,50,15.540741
-40.791128,50,16.919908
-74.063768,50,17.109512
-25.826519,50,17.311473
-42.240665,50,18.748641
-21.171171,50,18.968657
-27.411909,50,20.314704
-61.860952,50,20.573232
-16.429089,50,20.785075
-51.821927,50,22.146789
-30.331229,50,22.369559
-13.36917,50,23.774437
-60.109858,50,23.976219
-37.547094,50,24.254701
-11.214151,50,25.619482
-14.438352,50,25.822338
-21.970867,50,27.21635
-36.408648,50,27.477961
-10.282176,50,27.712551
-58.062422,50,29.074085
-5.986268,50,29.305355
-12.557821,50,30.695328
-6.368553,50,30.893772
-6.568359,50,31.096109
-18.501719,50,32.483898
-16.140559,50,32.713433
-48.571771,50,34.120938
-12.970151,50,34.326304
-3.401342,50,34.534067
-12.337159,50,35.981444
-4.225777,50,36.209723
-37.648134,50,37.727684
-10.895838,50,37.919184
-13.748189,50,38.103431
-31.872134,50,39.442527
-3.480779,50,39.63196
-7.484119,50,40.983624
-30.673911,50,41.153
-4.205343,50,41.423178
-4.480963,50,42.7289
-17.348295,50,42.956654
-5.97272,50,44.246956
-4.717958,50,44.417911
-5.379892,50,44.629642
-24.012187,50,45.929042
-2.870658,50,46.12829
-2.426068,50,47.509684
-4.408039,50,47.716884
-4.100778,50,47.939794
-10.678995,50,49.326005
-19.855316,50,49.567775
-5.304542,50,51.008436
-3.725309,50,51.212003
-5.043451,50,51.416815
-7.178252,50,52.847878
-3.149815,50,53.057114
-10.897308,50,54.58723
-9.709662,50,54.883322
-4.504937,50,55.175893
-12.156762,50,56.524323
-4.749402,50,56.727812
-7.004597,50,58.056465
-2.385066,50,58.243748
-3.060993,50,58.438652
-2.579121,50,59.881618
