#{"t_start": 1684137781.4132175, "env_id": "AcceleratedCart-v1"}
r,l,t
-80.946859,50,1.429987
-35.642533,50,1.624201
-9.888301,50,3.093402
-25.132742,50,3.307422
-112.490959,50,3.515826
-17.25347,50,4.911072
-7.952789,50,5.132733
-32.439716,50,6.544491
-22.633822,50,6.731664
-25.48563,50,6.944451
-73.865933,50,8.416297
-129.698863,50,8.624575
-41.482845,50,10.029712
-63.766956,50,10.32669
-4.160512,50,10.547122
-3.528643,50,11.926756
-109.709071,50,12.14079
-82.1873,50,13.548757
-19.972527,50,13.745077
-21.324349,50,13.955598
-59.151023,50,15.330677
-46.629688,50,15.542452
-43.272599,50,16.921778
-55.889878,50,17.111418
-31.572793,50,17.313158
-57.304224,50,18.750262
-70.329889,50,18.970513
-9.704631,50,20.316566
-50.968957,50,20.574927
-38.241619,50,20.786613
-9.251304,50,22.148498
-50.478002,50,22.371341
-28.647538,50,23.776286
-13.470574,50,23.977845
-35.923081,50,24.256483
-10.137741,50,25.621175
-23.56546,50,25.823997
-54.279115,50,27.218204
-11.531397,50,27.479611
-4.28551,50,27.714182
-5.841814,50,29.075754
-11.081583,50,29.306971
-12.668683,50,30.697201
-43.661617,50,30.895546
-4.01263,50,31.097978
-4.480301,50,32.485647
-30.539571,50,32.715047
-7.655425,50,34.12278
-3.816224,50,34.328014
-4.819803,50,34.535701
-27.722976,50,35.983216
-2.381632,50,36.211314
-10.161651,50,37.729502
-4.36682,50,37.920884
-11.946865,50,38.105146
-2.622957,50,39.444151
-25.8295,50,39.63379
-12.053039,50,40.985498
-5.864067,50,41.15481
-2.593188,50,41.424848
-28.262133,50,42.730581
-12.032251,50,42.958355
-2.542494,50,44.24876
-13.626038,50,44.419774
-2.559154,50,44.631277
-2.354283,50,45.930695
-17.071027,50,46.129988
-13.620021,50,47.511559
-3.120907,50,47.718685
-2.146037,50,47.94165
-7.482868,50,49.327701
-2.779273,50,49.569396
-2.702792,50,51.010302
-6.947988,50,51.213853
-3.944249,50,51.418643
-4.882304,50,52.849619
-5.439989,50,53.058713
-6.636834,50,54.589108
-9.274238,50,54.884811
-5.063421,50,55.177597
-6.168081,50,56.526041
-6.799871,50,56.729587
-17.402836,50,58.058346
-3.58609,50,58.245592
-3.963866,50,58.440323
-5.220311,50,59.883315
-2.152289,50,60.092674
-8.751634,50,61.456657
-4.520664,50,61.62255
-2.8953,50,61.818216
-3.281325,50,63.151242
-4.272313,50,63.435225
-3.532562,50,64.762592
-6.224751,50,65.017707
-4.889093,50,65.232991
-6.13175,50,66.588105
-3.29263,50,66.803527
-14.891218,50,68.115263
-12.619276,50,68.282782
-2.362376,50,68.464766
-3.158664,50,69.856969
-3.455335,50,70.058357
-2.366794,50,71.447271
-1.986328,50,71.669173
-16.867922,50,71.871794
-3.793407,50,73.219601
-2.241396,50,73.418438
-1.894063,50,74.811535
