#{"t_start": 1684137781.415795, "env_id": "AcceleratedCart-v1"}
r,l,t
-55.755165,50,1.427783
-83.725836,50,1.622315
-36.569345,50,3.091226
-76.262433,50,3.305402
-2.157036,50,3.513827
-1.623151,50,4.908941
-24.797295,50,5.130689
-27.970432,50,6.542247
-40.856943,50,6.729431
-86.085569,50,6.942289
-1.645445,50,8.414111
-85.392403,50,8.622332
-20.788086,50,10.027471
-2.526845,50,10.324803
-43.206581,50,10.545166
-8.315384,50,11.92453
-7.759091,50,12.138706
-15.501917,50,13.546494
-59.886148,50,13.743181
-39.419477,50,13.953616
-72.74737,50,15.328598
-42.452853,50,15.540392
-46.329811,50,16.919532
-34.530511,50,17.10914
-50.843646,50,17.311167
-22.99156,50,18.748328
-26.444262,50,18.968261
-18.974596,50,20.314298
-56.102096,50,20.572895
-11.035229,50,20.784719
-44.78646,50,22.146443
-48.346201,50,22.369156
-23.791272,50,23.774035
-11.639684,50,23.975888
-11.570947,50,24.254333
-64.2957,50,25.619151
-44.089947,50,25.822001
-10.620568,50,27.21595
-47.027421,50,27.477641
-41.350854,50,27.712226
-5.880485,50,29.073761
-45.102352,50,29.305059
-38.32007,50,30.694924
-53.748218,50,30.893383
-52.709009,50,31.095734
-5.844275,50,32.483525
-3.740062,50,32.71312
-45.529646,50,34.120535
-6.305696,50,34.32596
-39.44364,50,34.533763
-6.935905,50,35.981075
-7.513703,50,36.209418
-7.420323,50,37.727289
-26.958742,50,37.918846
-9.958745,50,38.103108
-14.144952,50,39.442207
-14.803808,50,39.631599
-4.040417,50,40.983248
-5.100317,50,41.152635
-2.42619,50,41.422847
-14.643266,50,42.728568
-16.282387,50,42.95634
-2.600544,50,44.246569
-2.08171,50,44.417511
-18.103543,50,44.629319
-2.841322,50,45.92872
-1.959707,50,46.127948
-8.397709,50,47.509281
-2.748815,50,47.716516
-14.320302,50,47.939399
-3.941528,50,49.32568
-5.008388,50,49.567456
-2.374863,50,51.008062
-2.560086,50,51.211647
-16.037382,50,51.416454
-8.926704,50,52.84754
-7.01726,50,53.056805
-3.304458,50,54.586852
-4.265687,50,54.883043
-3.506205,50,55.175567
-3.743341,50,56.523951
-7.21722,50,56.72745
-3.573931,50,58.056087
-4.660359,50,58.243383
-2.903651,50,58.438317
-3.15674,50,59.881282
-2.543413,50,60.090445
-5.260696,50,61.454361
-3.87771,50,61.620413
-3.933206,50,61.816009
-17.443043,50,63.149008
-2.030787,50,63.433002
-2.929749,50,64.760894
-4.373167,50,65.015662
-12.406294,50,65.230729
-18.459153,50,66.585878
-2.455188,50,66.801341
-2.756241,50,68.113009
-18.564313,50,68.280571
-3.071559,50,68.462546
-4.393395,50,69.854835
-4.015789,50,70.056187
-5.300918,50,71.445189
-8.81578,50,71.666999
-12.09397,50,71.869523
-4.0999,50,73.218403
-14.439373,50,73.416138
-4.710657,50,74.809279
-15.264857,50,75.014089
-17.634073,50,75.237453
-2.432771,50,76.544151
-2.91842,50,76.714617
-2.891038,50,78.045515
-2.870284,50,78.242608
-3.263256,50,78.442692
-11.065204,50,79.769769
-2.410392,50,79.993506
-2.245851,50,81.350105
-4.281386,50,81.524594
-2.125742,50,81.709351
-2.174785,50,83.081741
-7.66037,50,83.343326
-2.330703,50,84.730296
-18.562568,50,84.920195
-5.906417,50,85.103177
-2.280923,50,86.387752
-16.018346,50,86.656769
-3.703906,50,87.973673
-7.049897,50,88.14379
-1.949557,50,88.327298
-17.73158,50,89.622281
-2.014746,50,89.809314
-3.173565,50,91.08516
-4.109824,50,91.260882
-2.25067,50,91.441097
-19.718348,50,92.706578
-12.349037,50,92.911533
-10.979604,50,94.239939
-5.295815,50,94.417346
-6.117648,50,94.595146
-2.300645,50,95.892282
-2.528811,50,96.082086
-4.939798,50,97.389276
-5.14523,50,97.549922
-8.587976,50,97.733374
-4.752677,50,99.025533
-2.94182,50,99.233804
-14.490047,50,100.611814
-4.510099,50,100.893552
-4.299822,50,101.159907
-13.945507,50,102.628355
-4.062824,50,102.828666
-2.137188,50,104.172701
-2.116401,50,104.385543
-2.574681,50,104.680469
-2.04869,50,106.166593
-3.881084,50,106.377471
-4.317885,50,107.729364
-1.966091,50,107.937005
-1.968294,50,108.127099
-1.879508,50,109.488008
-4.691135,50,109.709273
-1.885369,50,111.110036
-2.135237,50,111.301188
-2.648695,50,111.50967
-8.25099,50,112.984091
-4.584333,50,113.178983
-4.195846,50,114.506342
-2.307468,50,114.688468
-1.996983,50,114.870326
-4.687516,50,116.212431
-13.698229,50,116.455655
-9.991275,50,117.877168
-2.78958,50,118.057018
-9.935817,50,118.262032
-1.918754,50,119.621834
-7.467779,50,119.797983
-4.252581,50,121.120211
-15.148348,50,121.347536
-1.839496,50,121.529328
-12.524559,50,122.841929
-3.096738,50,123.023244
-9.282018,50,124.34666
-6.10011,50,124.592784
-2.647214,50,124.893796
-17.163695,50,126.22917
-9.826368,50,126.416335
-4.768228,50,127.718562
-2.935558,50,127.948702
-2.511388,50,128.134379
-4.53253,50,129.453326
-1.808762,50,129.630612
-13.823853,50,130.950962
-14.62619,50,131.123511
-19.699632,50,131.336731
-2.979504,50,132.65064
-14.535382,50,132.834944
-19.017782,50,134.142465
-7.805979,50,134.319013
-2.306132,50,134.492692
-2.153636,50,135.825686
-3.999494,50,136.019846
-1.659405,50,137.315278
-2.298793,50,137.482638
-17.187568,50,137.681555
-6.789281,50,138.986125
-2.86858,50,139.187134
-4.212327,50,140.482487
-4.342554,50,140.692429
-5.242473,50,140.864027
-2.793471,50,142.17764
-14.408297,50,142.373053
-3.117667,50,143.649895
-18.981666,50,143.823665
-10.394461,50,144.032002
-12.137664,50,145.344981
-2.035091,50,145.527473
-2.55951,50,146.810327
-1.985992,50,146.987541
-5.20756,50,147.179067
-9.358624,50,148.47979
-9.504407,50,148.711326
-12.302691,50,150.114298
-1.635651,50,150.299788
-4.03679,50,150.494282
-7.410026,50,151.753962
-4.124374,50,152.02328
-3.41139,50,153.337121
-1.681317,50,153.496795
-1.779549,50,153.680244
-1.693304,50,155.048756
-1.847872,50,155.224473
-5.452976,50,156.553427
-3.141332,50,156.772611
-2.223942,50,156.968771
-3.644173,50,158.255158
-1.484789,50,158.450026
-11.626919,50,159.768403
-16.389731,50,159.991086
-6.591064,50,160.18883
-5.038739,50,161.48548
-17.536019,50,161.672569
-6.949603,50,162.924029
-3.245185,50,163.093759
-7.360264,50,163.290575
-4.573143,50,164.561756
-15.786346,50,164.738894
-4.311623,50,165.993688
-2.606848,50,166.169733
-1.821547,50,166.380383
-1.767388,50,167.624681
-15.385242,50,167.810547
-1.847279,50,169.102148
-3.848451,50,169.283998
-6.717112,50,169.476398
-4.257602,50,170.725531
-3.229002,50,170.939442
-12.301562,50,172.252348
-3.214904,50,172.446748
-1.984933,50,172.64278
-3.008986,50,173.912244
-1.64748,50,174.113119
-3.720445,50,175.474612
-10.972807,50,175.679311
-5.970048,50,175.945229
-1.420061,50,177.303581
-3.706022,50,177.528917
-13.41012,50,178.81965
-1.424486,50,179.082968
-1.71586,50,179.291728
-3.183159,50,180.603191
-12.403516,50,180.790937
-4.642748,50,182.127979
-10.977562,50,182.319899
-10.368072,50,182.557796
-1.887685,50,183.862283
-18.117938,50,184.056275
-14.17475,50,185.391828
-2.479267,50,185.570435
-13.532962,50,185.828204
-2.341086,50,187.124939
-17.135932,50,187.324314
-1.67563,50,188.662508
-3.322951,50,188.919183
-11.283523,50,189.103579
-1.600504,50,190.386856
-8.428564,50,190.622405
-2.12745,50,191.972268
-9.482409,50,192.191998
-7.909542,50,192.375795
-3.374333,50,193.754136
-2.537844,50,193.991972
-17.822961,50,195.475211
-15.707522,50,195.754659
-16.887509,50,195.997227
-4.740772,50,197.539812
-1.588406,50,197.750433
-11.76923,50,199.309743
-3.645467,50,199.568952
-1.521244,50,199.797907
-1.759327,50,201.207482
-2.38384,50,201.41494
-4.945582,50,202.86087
-2.180247,50,203.080702
-3.206171,50,203.282758
-1.423133,50,204.739089
-2.984944,50,204.928619
-1.969204,50,206.204032
-3.653522,50,206.373238
-2.947649,50,206.552973
-3.470342,50,207.901627
-2.422196,50,208.07929
-3.777475,50,209.416864
-3.86569,50,209.655758
-1.839222,50,209.876894
-2.894752,50,211.191719
