#{"t_start": 1684137781.411836, "env_id": "AcceleratedCart-v1"}
r,l,t
-5.421038,50,1.431161
-6.603366,50,1.625364
-35.012985,50,3.094635
-15.062473,50,3.308567
-54.797247,50,3.517048
-77.738442,50,4.912295
-16.932556,50,5.13392
-48.289375,50,6.545725
-18.499038,50,6.732901
-7.30933,50,6.945667
-101.031003,50,8.417518
-10.474133,50,8.625803
-73.988784,50,10.030945
-29.435488,50,10.327802
-58.895575,50,10.548276
-4.879891,50,11.927959
-38.944821,50,12.142024
-33.60628,50,13.549993
-66.628782,50,13.746158
-18.296632,50,13.956785
-33.091256,50,15.331859
-42.028723,50,15.543684
-27.723466,50,16.923024
-21.726635,50,17.112647
-19.721424,50,17.314385
-32.022712,50,18.751393
-41.774317,50,18.971724
-23.931509,50,20.317795
-47.087923,50,20.576104
-20.097178,50,20.787758
-21.96089,50,22.149691
-40.287437,50,22.372568
-41.917807,50,23.777519
-40.42901,50,23.978994
-17.529832,50,24.257698
-10.271587,50,25.622331
-13.504963,50,25.825162
-37.23776,50,27.219419
-13.624599,50,27.480733
-15.485676,50,27.71535
-29.394347,50,29.076903
-6.734819,50,29.308161
-2.566007,50,30.698432
-6.355227,50,30.896749
-13.635752,50,31.099218
-27.638054,50,32.486881
-31.362277,50,32.716228
-6.617924,50,34.124019
-3.686664,50,34.329191
-6.927681,50,34.536864
-8.644205,50,35.98443
-27.844766,50,36.212495
-3.684966,50,37.730699
-10.180619,50,37.922063
-1.776596,50,38.106329
-2.484235,50,39.445381
-31.223381,50,39.634989
-33.383354,50,40.986737
-8.25262,50,41.156027
-2.49827,50,41.426016
-17.477551,50,42.731759
-3.047722,50,42.959514
-1.899019,50,44.250016
-2.081745,50,44.421013
-23.375034,50,44.63245
-3.253915,50,45.931839
-2.249738,50,46.131214
-2.816559,50,47.512788
-2.085666,50,47.719888
-2.742427,50,47.942813
-2.753702,50,49.328868
-13.891267,50,49.570552
-3.783872,50,51.011539
-2.571634,50,51.215056
-8.045348,50,51.419861
-4.402322,50,52.850771
-5.026064,50,53.059942
-5.809362,50,54.590355
-5.401359,50,54.88588
-4.84049,50,55.17877
-5.574011,50,56.527237
-4.972706,50,56.730808
-5.522009,50,58.0596
-13.679532,50,58.246815
-5.934939,50,58.441474
-6.171377,50,59.884504
-13.33103,50,60.093909
-7.42575,50,61.457897
-22.108604,50,61.623776
-7.359356,50,61.819459
-2.420204,50,63.152478
-18.379239,50,63.436428
-10.351067,50,64.763586
-2.658595,50,65.018847
-2.177533,50,65.234215
-2.058066,50,66.589339
-3.60794,50,66.80477
-4.283191,50,68.116503
-11.027983,50,68.284018
-3.0573,50,68.465996
-10.439915,50,69.858183
-3.77775,50,70.059585
-4.183615,50,71.448444
-2.614873,50,71.670389
-8.548885,50,71.873003
-1.895065,50,73.220815
-15.398995,50,73.419666
-3.578002,50,74.812775
-7.386282,50,75.017272
-7.193129,50,75.240875
-1.909396,50,76.547556
-15.854725,50,76.718098
-11.18797,50,78.048995
-3.197268,50,78.246114
-5.507249,50,78.446209
-5.764207,50,79.772871
-2.080407,50,79.99674
-7.817213,50,81.353595
-4.181955,50,81.527887
-3.143223,50,81.712852
-2.056129,50,83.085048
-4.390397,50,83.346616
-2.08783,50,84.733799
-4.833608,50,84.92353
-5.911214,50,85.106615
-3.774393,50,86.391041
-16.092741,50,86.659653
-4.404331,50,87.976881
-1.991586,50,88.147263
-16.710799,50,88.330476
-4.175697,50,89.625781
-5.213194,50,89.812706
-12.439676,50,91.088665
-2.686414,50,91.264146
