#{"t_start": 1684137781.414357, "env_id": "AcceleratedCart-v1"}
r,l,t
-8.28583,50,1.428934
-38.397811,50,1.623242
-30.545893,50,3.092363
-96.638058,50,3.306429
-83.388067,50,3.514851
-23.481188,50,4.910031
-3.302679,50,5.131742
-37.749721,50,6.543429
-50.733904,50,6.730599
-44.23837,50,6.94342
-72.890759,50,8.415233
-26.943022,50,8.62351
-51.637108,50,10.028644
-17.382585,50,10.32574
-55.413375,50,10.546144
-73.642736,50,11.9257
-80.918538,50,12.139794
-19.462379,50,13.547702
-37.812434,50,13.744126
-32.059587,50,13.954609
-27.241117,50,15.329644
-13.522532,50,15.541464
-43.497499,50,16.92071
-30.205622,50,17.11035
-27.314136,50,17.312121
-54.088569,50,18.749291
-20.366843,50,18.96946
-27.122509,50,20.3155
-18.134665,50,20.573931
-22.188627,50,20.78563
-23.203497,50,22.147492
-17.770545,50,22.370349
-20.836275,50,23.775219
-8.112818,50,23.976886
-31.451755,50,24.255458
-23.096666,50,25.620169
-12.131776,50,25.823008
-25.290983,50,27.217147
-20.642306,50,27.478628
-17.448805,50,27.713202
-7.892205,50,29.074766
-6.2135,50,29.306007
-46.689427,50,30.696135
-6.153851,50,30.894496
-4.480761,50,31.096911
-2.575305,50,32.484662
-2.106646,50,32.714083
-12.872123,50,34.121713
-23.285192,50,34.327014
-15.762187,50,34.534725
-34.594716,50,35.982191
-3.449499,50,36.210356
-36.519633,50,37.728447
-13.70761,50,37.919888
-4.429847,50,38.104153
-3.468302,50,39.443089
-3.234715,50,39.632742
-6.138338,50,40.98443
-17.440342,50,41.153784
-3.996767,50,41.423878
-9.284105,50,42.72959
-3.994275,50,42.957367
-2.330311,50,44.247722
-7.470022,50,44.418708
-16.331593,50,44.630296
-3.214932,50,45.929713
-1.918263,50,46.129006
-19.572011,50,47.510489
-2.429384,50,47.717628
-22.561045,50,47.940609
-7.252619,50,49.326682
-4.115824,50,49.568421
-2.119175,50,51.009234
-3.182145,50,51.212797
-3.10949,50,51.417586
-2.427293,50,52.848652
-2.658577,50,53.057706
-6.022616,50,54.588038
-4.640733,50,54.883881
-4.615927,50,55.176572
-16.281401,50,56.525008
-3.499025,50,56.728563
-3.395872,50,58.057276
-5.174942,50,58.244533
-5.553747,50,58.43937
-6.925173,50,59.882318
-16.945442,50,60.091609
-3.318595,50,61.455584
-2.543122,50,61.621521
-1.917462,50,61.817147
-2.079203,50,63.150175
-12.355358,50,63.434167
-6.464524,50,64.761689
-12.216811,50,65.016695
-2.222972,50,65.231927
-2.222359,50,66.587042
-2.055956,50,66.802457
-3.804875,50,68.114195
-13.387539,50,68.281718
-3.60413,50,68.463704
-6.629542,50,69.855969
-3.40587,50,70.057325
-4.106136,50,71.446232
-4.90309,50,71.668138
-2.08649,50,71.87074
-4.368679,50,73.218571
-13.948826,50,73.417376
-3.474516,50,74.810466
-3.801202,50,75.01498
-2.04076,50,75.238568
-2.136919,50,76.545262
-3.035707,50,76.715795
-3.518821,50,78.046692
-2.882299,50,78.243836
-8.000317,50,78.443903
-3.127002,50,79.77078
-9.595063,50,79.994552
-2.27335,50,81.351285
-2.920574,50,81.525668
-9.520202,50,81.710586
-1.951979,50,83.082811
-2.765824,50,83.344357
-5.988904,50,84.73148
-3.101722,50,84.921282
-2.13117,50,85.104327
-16.108749,50,86.388841
-15.894233,50,86.657592
-2.550822,50,87.974825
-2.299768,50,88.144963
-6.000205,50,88.328182
-3.448358,50,89.623466
-3.614285,50,89.810416
-16.108383,50,91.086346
-9.140327,50,91.261907
-8.379105,50,91.442235
-3.645684,50,92.707723
-2.626448,50,92.912618
-15.873514,50,94.241108
-17.002094,50,94.418494
-2.521645,50,94.596297
-2.245244,50,95.893505
-2.802216,50,96.083296
-9.487345,50,97.390491
-13.619527,50,97.551094
-3.205124,50,97.734508
-6.939178,50,99.026711
-6.767133,50,99.234947
-6.67441,50,100.613017
-14.734785,50,100.894449
-2.5979,50,101.160994
-2.726406,50,102.62953
-2.583205,50,102.829671
-14.919834,50,104.173905
-2.878085,50,104.386712
-4.534659,50,104.681241
-2.142743,50,106.167622
-3.995549,50,106.378565
-14.395166,50,107.730581
-2.414847,50,107.938232
-3.742085,50,108.128261
-2.007384,50,109.489201
-11.716988,50,109.710277
-5.415939,50,111.111219
-6.718256,50,111.30224
-2.182921,50,111.510842
-5.65314,50,112.985308
-13.804417,50,113.180007
-12.273889,50,114.507487
-3.096983,50,114.689712
-12.986044,50,114.871469
-4.524347,50,116.213456
-12.582749,50,116.456635
-15.103166,50,117.878337
-6.760095,50,118.058199
-2.251265,50,118.263167
-4.345725,50,119.623009
-3.626288,50,119.799124
-2.968266,50,121.121396
-3.214301,50,121.348575
-1.878537,50,121.530444
-3.804704,50,122.842923
-3.011703,50,123.0244
-13.763363,50,124.347875
-14.93741,50,124.593817
-2.304482,50,124.894767
-6.965486,50,126.230255
-4.244734,50,126.417254
-1.742003,50,127.719747
-1.684539,50,127.949733
-1.878416,50,128.135532
-2.633345,50,129.454502
-1.946628,50,129.631841
-12.218158,50,130.952139
-5.90929,50,131.124661
-7.035126,50,131.337826
-18.731455,50,132.65163
-19.656339,50,132.835938
-1.905373,50,134.143571
-2.234759,50,134.320201
-1.718608,50,134.493732
-15.201651,50,135.826768
-2.144004,50,136.021025
-2.534242,50,137.316435
-17.273728,50,137.483815
-3.970029,50,137.682798
-1.876003,50,138.987214
-1.862021,50,139.188059
-19.47294,50,140.483651
-3.445977,50,140.693577
-1.811129,50,140.865152
-2.730611,50,142.178765
-9.70923,50,142.374112
-11.8812,50,143.651084
-2.949359,50,143.824841
-17.639758,50,144.033228
-7.552689,50,145.346062
-2.172853,50,145.528679
-3.561796,50,146.811507
-3.005091,50,146.988589
-1.751986,50,147.180092
-1.701633,50,148.480923
-1.907811,50,148.712494
-9.42373,50,150.115486
-1.598609,50,150.301026
-2.352493,50,150.495396
-7.905738,50,151.755038
-17.616995,50,152.024335
-9.524931,50,153.33831
-4.270811,50,153.497993
-3.250746,50,153.681399
-2.606121,50,155.04998
-1.564542,50,155.225587
-1.690956,50,156.554607
-2.189166,50,156.77356
-2.586369,50,156.969838
-1.56742,50,158.25631
-1.542926,50,158.451183
-15.499545,50,159.769587
-2.418172,50,159.992146
-6.59965,50,160.189975
-1.636706,50,161.486594
-16.503596,50,161.673623
-1.428314,50,162.925216
-2.139354,50,163.094806
-2.874605,50,163.291718
-12.96402,50,164.562858
-1.644716,50,164.740106
-16.169344,50,165.994845
-1.709224,50,166.17082
-3.236989,50,166.381517
-2.069465,50,167.625791
-1.894806,50,167.811607
-11.356814,50,169.103335
-6.176167,50,169.284245
-1.865006,50,169.477423
-1.466862,50,170.726677
-12.376297,50,170.940475
-1.90404,50,172.253565
-1.427693,50,172.44774
-1.493956,50,172.643875
-1.510956,50,173.913314
-5.755407,50,174.114204
-17.387266,50,175.475826
-2.433792,50,175.680194
-9.782009,50,175.946226
-1.474467,50,177.304699
-17.021144,50,177.52994
-9.796471,50,178.820829
-1.522207,50,179.084085
-1.887563,50,179.292802
-3.303954,50,180.604328
-3.123442,50,180.791908
-16.743817,50,182.129154
-1.656799,50,182.321023
-7.41741,50,182.558903
-2.520071,50,183.863346
-4.919974,50,184.057303
-2.126628,50,185.392971
-1.491768,50,185.571504
-17.999697,50,185.82937
-15.320926,50,187.126073
-1.83545,50,187.325355
-1.53361,50,188.663693
-3.36785,50,188.920143
-4.123546,50,189.104666
-17.687684,50,190.387844
-1.920993,50,190.623635
-14.359023,50,191.973466
-9.119929,50,192.193094
-7.934465,50,192.376727
-1.773694,50,193.755316
-5.907661,50,193.992925
-9.496142,50,195.476355
-10.476731,50,195.755719
-1.592651,50,195.998299
-4.255901,50,197.540933
-1.567235,50,197.751408
-1.982334,50,199.310958
-10.643096,50,199.570056
-5.454509,50,199.798997
-2.015316,50,201.207654
-16.237433,50,201.416172
-4.837109,50,202.862084
-2.778808,50,203.081724
-7.673272,50,203.283884
-4.959896,50,204.740167
-6.472497,50,204.929583
-8.995554,50,206.205249
-7.83008,50,206.374409
-1.631785,50,206.554073
-2.069505,50,207.902693
-2.375457,50,208.08042
-2.85875,50,209.418077
-1.585037,50,209.656637
-2.193872,50,209.877901
-1.447508,50,211.192749
-9.339074,50,211.387926
-1.62646,50,212.723217
-13.767807,50,213.005759
-13.882611,50,213.21886
-6.770792,50,214.558888
-9.560857,50,214.773393
-16.627665,50,216.055816
-13.492335,50,216.223791
-4.294878,50,216.505172
-2.029889,50,217.79028
-2.88776,50,217.979864
-14.955015,50,219.409992
-1.786271,50,219.583759
-12.440107,50,219.76978
-16.109872,50,221.080505
-2.091244,50,221.275262
-3.137014,50,222.536947
-10.400816,50,222.759795
-1.60312,50,222.946916
-8.442557,50,224.231672
-3.035774,50,224.429902
-1.170539,50,225.735832
-1.273132,50,226.005741
-1.21133,50,226.193077
-1.377748,50,227.450768
-1.235733,50,227.630934
-8.330549,50,228.963313
-15.880942,50,229.132622
-1.534488,50,229.342344
-1.380085,50,230.615047
-1.865193,50,230.785262
-1.559876,50,232.111339
-15.654263,50,232.28102
-2.819437,50,232.46926
-3.603736,50,233.726652
-8.062054,50,233.927432
-4.533318,50,235.207552
-1.263663,50,235.372359
-9.527458,50,235.566477
-5.288709,50,236.900474
-4.695608,50,237.089406
-1.553817,50,238.372702
-5.078375,50,238.544432
-12.121108,50,238.752538
-1.581794,50,240.01037
-10.600919,50,240.208025
-7.665074,50,241.485108
-1.159824,50,241.683617
-1.640922,50,241.849528
-2.719711,50,243.119899
-2.844821,50,243.323683
-13.953446,50,244.638983
-1.717759,50,244.827548
-7.459334,50,245.029477
-6.072652,50,246.303949
-2.29753,50,246.538444
-8.321109,50,247.780503
-13.598432,50,247.969651
-1.34356,50,248.172889
-14.905326,50,249.437684
-0.983862,50,249.64648
-10.98821,50,250.945613
-1.414279,50,251.104969
-3.928795,50,251.314741
-14.006392,50,252.633651
-9.179041,50,252.84903
-15.900112,50,254.12774
-14.510783,50,254.298609
-11.105958,50,254.491689
-1.034888,50,255.780122
-6.476131,50,255.977271
-2.412517,50,257.216624
-4.712337,50,257.394876
-3.909686,50,257.571586
-3.397023,50,258.908553
-8.906247,50,259.097904
-5.923047,50,260.334747
-15.86321,50,260.510809
-5.299547,50,260.683559
-2.504155,50,261.997581
-1.778081,50,262.170547
-7.705458,50,263.456265
-7.378527,50,263.622795
-4.641031,50,263.816583
-3.745952,50,0.108091
-3.603776,50,0.348473
-3.051526,50,2.128158
-12.457092,50,2.388422
-13.824827,50,2.666995
-0.856763,50,4.231245
-0.931967,50,4.459282
-4.150958,50,5.920956
-0.933159,50,6.145678
-7.863459,50,6.401911
-0.860514,50,7.906594
-1.311675,50,8.144519
